model_id,provider_group,source_model,family,modality,task_role,quality_tier,priority,confidence,classification_note
g4f-pollinations/srv_mp5miql908c8738d71be:flux,g4f-pollinations,srv_mp5miql908c8738d71be:flux,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:dreamshaper,g4f-pollinations,srv_mrdypihj16e8b1776409:dreamshaper,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:flux,g4f-pollinations,srv_mrdypihj16e8b1776409:flux,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:midijourney,g4f-pollinations,srv_mrdypihj16e8b1776409:midijourney,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:zimage,g4f-pollinations,srv_mrdypihj16e8b1776409:zimage,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:CloudCompile/agnes-image-2.0-flash,g4f-pollinations,CloudCompile/agnes-image-2.0-flash,Flux/Image,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mkoqob5pfb6ff5ec61c2:gpt-audio,g4f-pollinations,srv_mkoqob5pfb6ff5ec61c2:gpt-audio,GPT/OpenAI,audio-generation,audio,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-image-2,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-image-2,GPT/OpenAI,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gptimage,g4f-pollinations,srv_mrdypihj16e8b1776409:gptimage,GPT/OpenAI,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gptimage-large,g4f-pollinations,srv_mrdypihj16e8b1776409:gptimage-large,GPT/OpenAI,image-generation,image-creation,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
